,Date,Cash,Shares,SharePrice,NetWorth,Benchmark
0,2002-07-18,10000.0,0.0,3.51,10000.0,10000.0
1,2002-07-19,10000.0,0.0,3.36,10000.0,9572.65
2,2002-07-22,10000.0,0.0,3.13,10000.0,8917.38
3,2002-07-23,10000.0,0.0,2.78,10000.0,7920.23
4,2002-07-24,10000.0,0.0,2.68,10000.0,7635.330000000001
5,2002-07-25,10000.0,0.0,2.68,10000.0,7635.330000000001
6,2002-07-26,10000.0,0.0,2.94,10000.0,8376.07
7,2002-07-29,10000.0,0.0,3.12,10000.0,8888.890000000001
8,2002-07-30,10000.0,0.0,3.12,10000.0,8888.890000000001
9,2002-07-31,10000.0,0.0,3.12,10000.0,8888.890000000001
10,2002-08-01,10000.0,0.0,2.96,10000.0,8433.05
11,2002-08-02,10000.0,0.0,2.9,10000.0,8262.11
12,2002-08-05,10000.0,0.0,3.51,10000.0,10000.0
13,2002-08-06,10000.0,0.0,2.73,10000.0,7777.78
14,2002-08-07,10000.0,0.0,2.79,10000.0,7948.72
15,2002-08-08,10000.0,0.0,2.79,10000.0,7948.72
16,2002-08-09,10000.0,0.0,2.79,10000.0,7948.72
17,2002-08-12,10000.0,0.0,2.79,10000.0,7948.72
18,2002-08-13,10000.0,0.0,2.82,10000.0,8034.19
19,2002-08-14,10000.0,0.0,2.82,10000.0,8034.19
20,2002-08-15,10000.0,0.0,2.82,10000.0,8034.19
21,2002-08-16,10000.0,0.0,2.82,10000.0,8034.19
22,2002-08-19,10000.0,0.0,2.88,10000.0,8205.13
23,2002-08-20,10000.0,0.0,3.08,10000.0,8774.93
24,2002-08-21,10000.0,0.0,3.1,10000.0,8831.91
25,2002-08-22,10000.0,0.0,3.1,10000.0,8831.91
26,2002-08-23,10000.0,0.0,3.07,10000.0,8746.44
27,2002-08-26,10000.0,0.0,3.07,10000.0,8746.44
28,2002-08-27,10000.0,0.0,2.94,10000.0,8376.07
29,2002-08-28,10000.0,0.0,2.94,10000.0,8376.07
30,2002-08-29,10000.0,0.0,2.89,10000.0,8233.62
31,2002-08-30,10000.0,0.0,2.81,10000.0,8005.700000000001
32,2002-09-03,10000.0,0.0,2.81,10000.0,8005.700000000001
33,2002-09-04,10000.0,0.0,2.78,10000.0,7920.23
34,2002-09-05,10000.0,0.0,2.78,10000.0,7920.23
35,2002-09-06,10000.0,0.0,2.78,10000.0,7920.23
36,2002-09-09,10000.0,0.0,2.78,10000.0,7920.23
37,2002-09-10,10000.0,0.0,2.72,10000.0,7749.290000000001
38,2002-09-11,10000.0,0.0,2.72,10000.0,7749.290000000001
39,2002-09-12,10000.0,0.0,2.95,10000.0,8404.560000000001
40,2002-09-13,10000.0,0.0,2.91,10000.0,8290.6
41,2002-09-16,10000.0,0.0,2.96,10000.0,8433.05
42,2002-09-17,10000.0,0.0,2.94,10000.0,8376.07
43,2002-09-18,10000.0,0.0,2.94,10000.0,8376.07
44,2002-09-19,10000.0,0.0,2.87,10000.0,8176.64
45,2002-09-20,10000.0,0.0,2.8,10000.0,7977.21
46,2002-09-23,10000.0,0.0,2.8,10000.0,7977.21
47,2002-09-24,10000.0,0.0,2.65,10000.0,7549.86
48,2002-09-25,10000.0,0.0,2.65,10000.0,7549.86
49,2002-09-26,10000.0,0.0,2.8,10000.0,7977.21
50,2002-09-27,10000.0,0.0,2.76,10000.0,7863.25
51,2002-09-30,10000.0,0.0,2.77,10000.0,7891.740000000001
52,2002-10-01,10000.0,0.0,2.77,10000.0,7891.740000000001
53,2002-10-02,10000.0,0.0,2.77,10000.0,7891.740000000001
54,2002-10-03,10000.0,0.0,2.77,10000.0,7891.740000000001
55,2002-10-04,10000.0,0.0,2.77,10000.0,7891.740000000001
56,2002-10-07,10000.0,0.0,2.77,10000.0,7891.740000000001
57,2002-10-08,10000.0,0.0,2.69,10000.0,7663.82
58,2002-10-09,10000.0,0.0,2.67,10000.0,7606.84
59,2002-10-10,10000.0,0.0,2.67,10000.0,7606.84
60,2002-10-11,10000.0,0.0,2.67,10000.0,7606.84
61,2002-10-14,10000.0,0.0,2.67,10000.0,7606.84
62,2002-10-15,10000.0,0.0,2.67,10000.0,7606.84
63,2002-10-16,10000.0,0.0,2.67,10000.0,7606.84
64,2002-10-17,10000.0,0.0,2.67,10000.0,7606.84
65,2002-10-18,2.9799999999995634,3267.0,3.06,10000.0,8717.95
66,2002-10-21,2.9799999999995634,3267.0,3.18,10392.04,9059.83
67,2002-10-22,2.9799999999995634,3267.0,3.01,10392.04,8575.5
68,2002-10-23,2.9799999999995634,3267.0,3.01,10392.04,8575.5
69,2002-10-24,2.9799999999995634,3267.0,3.01,10392.04,8575.5
70,2002-10-25,2.9799999999995634,3267.0,3.01,10392.04,8575.5
71,2002-10-28,2.9799999999995634,3267.0,3.01,10392.04,8575.5
72,2002-10-29,2.9799999999995634,3267.0,3.01,10392.04,8575.5
73,2002-10-30,2.9799999999995634,3267.0,3.01,10392.04,8575.5
74,2002-10-31,2.9799999999995634,3267.0,3.01,10392.04,8575.5
75,2002-11-01,2.9799999999995634,3267.0,2.88,10392.04,8205.13
76,2002-11-04,2.9799999999995634,3267.0,2.91,10392.04,8290.6
77,2002-11-05,2.9799999999995634,3267.0,2.91,10392.04,8290.6
78,2002-11-06,2.9799999999995634,3267.0,2.91,10392.04,8290.6
79,2002-11-07,2.9799999999995634,3267.0,2.91,10392.04,8290.6
80,2002-11-08,2.9799999999995634,3267.0,3.04,10392.04,8660.970000000001
81,2002-11-11,2.9799999999995634,3267.0,3.04,10392.04,8660.970000000001
82,2002-11-12,2.9799999999995634,3267.0,2.98,10392.04,8490.03
83,2002-11-13,2.9799999999995634,3267.0,2.98,10392.04,8490.03
84,2002-11-14,2.9799999999995634,3267.0,2.94,10392.04,8376.07
85,2002-11-15,2.9799999999995634,3267.0,2.89,10392.04,8233.62
86,2002-11-18,2.9799999999995634,3267.0,2.86,10392.04,8148.15
